count	5000ms	500ms
318	0.92	0.9
319	0.92	0.9
320	0.92	0.9
321	0.92	0.9
322	0.92	0.9
323	0.92	0.9
324	0.92	0.9
325	0.92	0.9
326	0.92	0.9
327	0.92	0.9
328	0.92	0.9
329	0.92	0.9
330	0.92	0.9
331	0.92	0.9
332	0.92	0.9
333	0.92	0.9
334	0.92	0.9
335	0.92	0.9
336	0.92	0.9
337	0.92	0.9
338	0.92	0.9
339	0.92	0.9
340	0.92	0.89
341	0.92	0.89
342	0.92	0.89
343	0.92	0.89
344	0.92	0.89
345	0.92	0.89
346	0.92	0.89
347	0.92	0.89
348	0.92	0.89
349	0.92	0.89
350	0.91	0.89
351	0.91	0.89
352	0.91	0.89
353	0.91	0.89
354	0.91	0.89
355	0.91	0.89
356	0.91	0.89
357	0.91	0.89
358	0.91	0.89
359	0.91	0.89
360	0.91	0.89
361	0.91	0.89
362	0.91	0.89
363	0.91	0.88
364	0.91	0.88
365	0.91	0.88
366	0.91	0.88
367	0.91	0.88
368	0.91	0.88
369	0.91	0.88
370	0.91	0.88
371	0.91	0.88
372	0.91	0.88
373	0.91	0.88
374	0.91	0.88
375	0.91	0.88
376	0.91	0.88
377	0.91	0.88
378	0.91	0.88
379	0.91	0.88
380	0.91	0.88
381	0.91	0.88
382	0.91	0.88
383	0.91	0.88
384	0.91	0.88
385	0.91	0.88
386	0.91	0.88
387	0.91	0.88
388	0.91	0.88
389	0.91	0.88
390	0.91	0.88
391	0.91	0.88
392	0.91	0.88
393	0.91	0.88
394	0.91	0.88
395	0.91	0.88
396	0.9	0.88
397	0.9	0.88
398	0.9	0.87
399	0.9	0.87
400	0.9	0.87
401	0.9	0.87
402	0.9	0.87
403	0.9	0.87
404	0.9	0.87
405	0.9	0.87
406	0.9	0.87
407	0.9	0.87
408	0.9	0.87
409	0.9	0.87
410	0.9	0.87
411	0.9	0.87
412	0.9	0.87
413	0.9	0.87
414	0.9	0.87
415	0.9	0.87
416	0.9	0.87
417	0.9	0.87
418	0.9	0.87
419	0.9	0.87
420	0.9	0.87
421	0.9	0.87
422	0.9	0.86
423	0.9	0.86
424	0.9	0.86
425	0.9	0.86
426	0.9	0.86
427	0.9	0.86
428	0.9	0.86
429	0.9	0.86
430	0.9	0.86
431	0.9	0.86
432	0.9	0.86
433	0.9	0.86
434	0.9	0.86
435	0.9	0.86
436	0.9	0.86
437	0.9	0.86
438	0.9	0.86
439	0.9	0.86
440	0.9	0.86
441	0.9	0.86
442	0.9	0.86
443	0.9	0.86
444	0.9	0.86
445	0.9	0.86
446	0.9	0.86
447	0.9	0.86
448	0.9	0.86
449	0.9	0.86
450	0.9	0.86
451	0.9	0.86
452	0.9	0.86
453	0.9	0.86
454	0.9	0.86
455	0.9	0.86
456	0.89	0.86
457	0.89	0.86
458	0.89	0.86
459	0.89	0.86
460	0.89	0.86
461	0.89	0.86
462	0.89	0.86
463	0.89	0.86
464	0.89	0.86
465	0.89	0.86
466	0.89	0.86
467	0.89	0.85
468	0.89	0.85
469	0.89	0.85
470	0.89	0.85
471	0.89	0.85
472	0.89	0.85
473	0.89	0.85
474	0.89	0.85
475	0.89	0.85
476	0.89	0.85
477	0.89	0.85
478	0.89	0.85
479	0.89	0.85
480	0.89	0.85
481	0.88	0.84
482	0.88	0.84
483	0.88	0.84
484	0.88	0.84
485	0.88	0.84
486	0.88	0.84
487	0.88	0.84
488	0.88	0.84
489	0.88	0.84
490	0.88	0.84
491	0.88	0.84
492	0.88	0.84
493	0.88	0.84
494	0.88	0.84
495	0.88	0.84
496	0.88	0.84
497	0.88	0.84
498	0.88	0.84
499	0.88	0.84
500	0.88	0.84
501	0.88	0.84
502	0.88	0.84
503	0.88	0.84
504	0.88	0.84
505	0.88	0.84
506	0.88	0.84
507	0.88	0.84
508	0.88	0.84
509	0.88	0.84
510	0.88	0.84
511	0.88	0.84
512	0.88	0.84
513	0.88	0.83
514	0.88	0.83
515	0.88	0.83
516	0.88	0.83
517	0.88	0.83
518	0.88	0.83
519	0.88	0.83
520	0.88	0.83
521	0.88	0.83
522	0.88	0.83
523	0.88	0.83
524	0.88	0.83
525	0.88	0.83
526	0.88	0.83
527	0.88	0.83
528	0.88	0.83
529	0.88	0.83
530	0.87	0.83
531	0.87	0.83
532	0.87	0.83
533	0.87	0.83
534	0.87	0.83
535	0.87	0.82
536	0.87	0.82
537	0.87	0.82
538	0.87	0.82
539	0.87	0.82
540	0.87	0.82
541	0.87	0.82
542	0.87	0.82
543	0.87	0.82
544	0.87	0.82
545	0.87	0.82
546	0.87	0.82
547	0.87	0.82
548	0.87	0.82
549	0.87	0.82
550	0.87	0.82
551	0.87	0.82
552	0.87	0.82
553	0.87	0.82
554	0.87	0.82
555	0.87	0.82
556	0.87	0.82
557	0.87	0.82
558	0.87	0.82
559	0.87	0.82
560	0.87	0.82
561	0.87	0.82
562	0.87	0.82
563	0.87	0.82
564	0.87	0.82
565	0.87	0.82
566	0.86	0.82
567	0.86	0.82
568	0.86	0.82
569	0.86	0.82
570	0.86	0.82
571	0.86	0.81
572	0.86	0.81
573	0.86	0.81
574	0.86	0.81
575	0.86	0.81
576	0.86	0.81
577	0.86	0.81
578	0.86	0.81
579	0.86	0.81
580	0.86	0.81
581	0.86	0.81
582	0.86	0.81
583	0.86	0.81
584	0.86	0.81
585	0.86	0.81
586	0.86	0.81
587	0.86	0.81
588	0.86	0.81
589	0.86	0.81
590	0.86	0.81
591	0.86	0.81
592	0.86	0.81
593	0.86	0.81
594	0.86	0.81
595	0.86	0.81
596	0.86	0.81
597	0.86	0.81
598	0.86	0.81
599	0.86	0.81
600	0.86	0.8
601	0.86	0.8
602	0.86	0.8
603	0.86	0.8
604	0.86	0.8
605	0.86	0.8
606	0.86	0.8
607	0.86	0.8
608	0.86	0.8
609	0.86	0.8
610	0.86	0.8
611	0.86	0.8
612	0.86	0.8
613	0.86	0.8
614	0.86	0.8
615	0.86	0.8
616	0.86	0.8
617	0.86	0.8
618	0.86	0.8
619	0.86	0.8
620	0.86	0.8
621	0.85	0.8
622	0.85	0.8
623	0.85	0.8
624	0.85	0.8
625	0.85	0.79
626	0.85	0.79
627	0.85	0.79
628	0.85	0.79
629	0.85	0.79
630	0.85	0.79
631	0.85	0.79
632	0.85	0.79
633	0.85	0.79
634	0.85	0.79
635	0.85	0.79
636	0.85	0.79
637	0.85	0.79
638	0.85	0.79
639	0.85	0.79
640	0.85	0.79
641	0.85	0.79
642	0.85	0.79
643	0.85	0.79
644	0.85	0.79
645	0.85	0.79
646	0.85	0.79
647	0.85	0.79
648	0.85	0.79
649	0.85	0.79
650	0.85	0.79
651	0.85	0.79
652	0.85	0.79
653	0.85	0.79
654	0.85	0.79
655	0.85	0.79
656	0.84	0.79
657	0.84	0.79
658	0.84	0.79
659	0.84	0.79
660	0.84	0.79
661	0.84	0.78
662	0.84	0.78
663	0.84	0.78
664	0.84	0.78
665	0.84	0.78
666	0.84	0.78
667	0.84	0.78
668	0.84	0.78
669	0.84	0.78
670	0.84	0.78
671	0.84	0.78
672	0.84	0.78
673	0.84	0.78
674	0.84	0.78
675	0.84	0.78
676	0.84	0.78
677	0.84	0.78
678	0.84	0.78
679	0.84	0.78
680	0.84	0.78
681	0.84	0.78
682	0.84	0.78
683	0.84	0.78
684	0.84	0.78
685	0.84	0.78
686	0.84	0.78
687	0.84	0.78
688	0.84	0.78
689	0.84	0.78
690	0.84	0.78
691	0.84	0.78
692	0.84	0.78
693	0.84	0.77
694	0.84	0.77
695	0.84	0.77
696	0.84	0.77
697	0.84	0.77
698	0.84	0.77
699	0.84	0.77
700	0.83	0.77
701	0.83	0.77
702	0.83	0.77
703	0.83	0.77
704	0.83	0.77
705	0.83	0.77
706	0.83	0.77
707	0.83	0.77
708	0.83	0.77
709	0.83	0.77
710	0.83	0.77
711	0.83	0.77
712	0.83	0.77
713	0.83	0.77
714	0.83	0.77
715	0.83	0.76
716	0.83	0.76
717	0.83	0.76
718	0.83	0.76
719	0.83	0.76
720	0.83	0.76
721	0.83	0.76
722	0.83	0.76
723	0.83	0.76
724	0.83	0.76
725	0.83	0.76
726	0.83	0.76
727	0.83	0.76
728	0.83	0.76
729	0.83	0.76
730	0.82	0.76
731	0.82	0.76
732	0.82	0.76
733	0.82	0.76
734	0.82	0.76
735	0.82	0.76
