task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29
0	18.413498887228798	0	31.380107180421998	11.5865011127712	11.5865011127712	11.5865011127712	11.103207890463509	0	51.178811963327995	18.89679210953649	18.89679210953649	18.89679210953649	8.617839435476679	0	57.910018195583994	21.38216056452332	21.38216056452332	21.38216056452332	14.969489545113596	0	40.707632481984	15.030510454886404	15.030510454886404	15.030510454886404	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	18.322828400963445	1	63.005780261146	11.677171599036555	11.631836355903879	11.631836355903879	3.0032890077356242	1	140.56271969261198	33.003289007735624	25.950040558636058	25.950040558636058	14.71036333942006	1	99.319450817988	15.28963666057994	18.33589861255163	18.33589861255163	5.507606625697473	1	107.04119787072	24.492393374302527	19.761451914594467	19.761451914594467	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	11.66355819304431	2	112.66697682165099	18.33644180695569	13.866704839587817	13.866704839587817	16.57759473147471	2	176.91506729486798	13.42240526852529	21.774162128599134	21.774162128599134	14.736724560785722	2	140.65748846586	15.263275439214278	17.311690888105847	17.311690888105847	10.556050616832	2	159.7018941168	19.443949383168	19.655617737452314	19.655617737452314	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	17.620376077988677	3	146.195124943765	12.379623922011323	13.494934610193692	13.494934610193692	15.186922850515938	3	217.03381790805398	14.813077149484062	20.033890883820366	20.033890883820366	12.158316386284802	3	188.978714919672	17.841683613715198	17.444189069508184	17.444189069508184	7.369097487974397	3	220.993921753536	22.630902512025603	20.399438931095634	20.399438931095634	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	17.91669538065969	4	178.920741621145	12.08330461934031	13.212608612023015	13.212608612023015	0.5508625936559959	4	299.77573743253896	30.550862593655996	22.13728522578749	22.13728522578749	12.66125483113846	4	235.937816418672	17.33874516886154	17.423100289378855	17.423100289378855	14.458743948536124	4	263.084823559584	15.541256051463876	19.427802355169284	19.427802355169284	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	16.399182526797418	5	215.756288944402	13.600817473202584	13.277310088886276	13.277310088886276	16.203817280385238	5	337.14039896482893	13.796182719614764	20.747101474758704	20.747101474758704	16.300737102045048	5	273.03998676730004	13.699262897954954	16.802460724141536	16.802460724141536	14.681415116697604	5	304.57265761852796	15.318584883302396	18.7429327765248	18.7429327765248	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	12.18242416528837	6	264.012223496746	17.81757583471163	13.925919481147043	13.925919481147043	15.089073702276922	6	377.52415768782896	14.910926297723078	19.913362163753614	19.913362163753614	16.37076426834019	6	309.95250020721204	13.629235731659813	16.34914286807272	16.34914286807272	16.332053595766155	6	341.590012463328	13.667946404233845	18.017934723340378	18.017934723340378	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	13.883852679832614	7	307.660122488866	16.116147320167386	14.199697961024585	14.199697961024585	14.599681081675568	7	419.23335475829094	15.400318918324432	19.349231758074968	19.349231758074968	16.343204318713845	7	346.93965517736206	13.656795681286155	16.0125994697244	16.0125994697244	15.263829995187692	7	381.50047289302796	14.736170004812308	17.607714133524368	17.607714133524368	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	15.380773965487752	8	347.25385966567	14.619226034512248	14.246312191412102	14.246312191412102	9.310156014604807	8	475.26834888540293	20.689843985395193	19.49818867222166	19.49818867222166	2.8839659000160083	8	436.00039615657204	32.88396590001601	17.887195739756798	17.887195739756798	16.016257255827693	8	419.37310949182796	13.983742744172307	17.205050645818584	17.205050645818584	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	15.79991061823015	9	385.71243507463004	14.20008938176985	14.241689910447878	14.241689910447878	12.235276571537725	9	523.3811415041549	17.764723428462275	19.32484214784572	19.32484214784572	4.861884800676918	9	504.0827914880721	25.13811519932308	18.612287685713426	18.612287685713426	9.806860442806155	9	474.062862459228	20.193139557193845	17.50385953695611	17.50385953695611	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	18.219136714751997	10	417.61893980551	11.780863285248001	14.017978399066068	14.261126127695556	17.714388358299697	10	556.6546730337599	12.285611641700303	18.684912101832502	18.6637241010621	17.712086865888004	10	537.3625562262921	12.287913134111996	18.03734454465875	17.702862942672294	0.6357906979384538	10	557.034795599478	30.635790697938454	18.69767146068178	19.06438756126132	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	9.768227509986463	11	472.41332363263	20.231772490013537	14.53579457331169	15.116586216793255	12.054342324292435	11	605.2574959054679	17.945657675707565	18.62330756632209	17.157960967859296	18.2985622212	11	569.0539502105421	11.701437778799999	17.50935231417052	17.3440430544943	0.8709438231064652	11	635.925989411898	29.129056176893535	19.56695352036609	19.528053841520418	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	11.784893890584001	12	521.745902678965	18.215106109416	14.818818537627408	15.10445264703929	1.1321505355908812	12	689.5737369393598	31.13215053559088	19.585526256265844	18.928935494565856	18.46710026695385	12	600.2888869875421	11.532899733046152	17.04962519254557	16.971005483877487	11.597347376832001	12	685.7665069329779	18.402652623168	19.477391912889313	19.423924165520415	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2.912809341304623	13	595.107044046265	27.087190658695377	15.695130831989404	16.575209320707692	17.44459888296554	13	723.5779482979948	12.55540111703446	19.083374460606457	18.703167891320895	1.3783812398861492	13	685.2720028455672	31.37838123988615	18.073107767355612	18.324675246494586	15.001696691299202	13	726.386911727376	14.998303308700798	19.157457012590132	18.660664245187935	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	16.760285036040003	14	630.9646054069899	13.239714963959997	15.531436440787445	16.690850355169665	16.851230845301906	14	759.1891980919688	13.148769154698092	18.687734106879233	16.962958547425103	1.0432430002707704	14	769.3474526379672	31.04324300027077	18.937783449549954	19.69512502963551	0.41332157718054674	14	808.75632433224	30.413321577180547	19.907847983562828	20.1478707977596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	16.41931025957539	15	667.7456401206399	13.580689740424612	15.409514772014768	16.688837581891868	17.004087205779694	15	794.3864619096488	12.995912794220306	18.33199527483805	16.88293155488566	16.185985705188926	15	806.7604080197472	13.814014294811074	18.617547877378776	19.706600169321117	13.919081076333786	15	852.308813083836	16.080918923666214	19.66866491731929	20.224104201795985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
