task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
0	4.932217146800003	0	40.80857856074999	15.067782853199997	15.067782853199997	15.067782853199997	6.279190911199999	0	37.1605246155	13.720809088800001	13.720809088800001	13.720809088800001	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5.691830392928004	1	79.55987124657	14.308169607071996	14.687976230135996	14.687976230135996	3.5479679273440006	1	100.93627108539	23.547967927344	18.634388508072	18.634388508072	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	7.06321993692357	2	114.59698391740199	12.93678006307643	14.104244174449475	14.104244174449475	5.7211369240990795	2	139.608191915955	14.27886307590092	17.182546697348307	17.182546697348307	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.4292950416984631	3	167.600976512802	19.570704958301537	15.47085937041249	15.47085937041249	5.163357274178461	3	179.790765965055	14.83664272582154	16.596070704466616	16.596070704466616	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	5.906328449334156	4	205.77133696252199	14.093671550665844	15.195421806463163	15.195421806463163	5.158346433835073	4	219.986911040085	14.841653566164927	16.245187276806277	16.245187276806277	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	7.020389941059937	5	240.924447538818	12.979610058940063	14.826119848542646	14.826119848542646	1.6413041254879985	5	269.708379033555	18.358695874512	16.59743870975723	16.59743870975723	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	5.716327392500187	6	279.60939418413	14.283672607499813	14.748627385536526	14.748627385536526	6.955192105159631	6	305.038067082081	13.04480789484037	16.08992002191197	16.08992002191197	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.45269658742547847	7	332.55000759318597	19.54730341257452	15.348461888916276	15.348461888916276	2.9962646028792648	7	351.089850449283	17.003735397120735	16.204146943813065	16.204146943813065	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
8	5.035681086645665	8	373.078371316854	14.964318913354335	15.30577933607606	15.30577933607606	3.2991976570315096	8	396.321190128156	16.70080234296849	16.25933087705256	16.25933087705256	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
9	3.6274356218220234	9	437.06934279262197	23.627435621822023	16.137944964650657	16.137944964650657	6.205559134317294	9	433.68113413938	13.794440865682706	16.012841875915573	16.012841875915573	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10	1.7187552432836952	10	486.58104734206194	18.281244756716305	16.33279040029299	16.459291155002283	8.289906835330587	10	465.395969793693	11.710093164669413	15.621682902165922	15.811770283502511	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
11	0.2735562454055369	11	541.4885955067019	20.273556245405537	16.661187554052365	17.05582981883564	8.047021452824	11	497.76862002562797	11.952978547176	15.315957539250094	14.65227134548571	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
12	1.5787061198158803	12	591.379599765534	18.42129388018412	16.796580348370192	17.60428120054641	0.1995217978481243	12	551.3949151564559	19.800478202151876	15.660920667165616	15.204432858110803	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
13	14.192267811496002	13	683.9836584216689	34.192267811496	18.03912945287918	19.06643748586586	1.3892658743814152	13	601.7989867466729	18.610734125618585	15.871621628483686	15.58184199809051	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
14	17.87200852277661	14	786.553681504189	37.87200852277661	19.36132139087234	21.444271183076935	1.3797712427278768	14	652.2287729642849	18.620228757272123	16.054862103736248	15.95969951720123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
15	5.883756817442464	15	824.785173456949	14.116243182557536	19.033504002852666	21.55793449543868	5.024300916613912	15	692.7879579817888	14.975699083386088	15.987414414964363	15.621399838088639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
16	4.717878458564922	16	866.174252631669	15.282121541435078	18.81283444629869	21.657779388832207	5.089346406183385	16	733.1709781317088	14.910653593816615	15.924075543132142	15.807984407986263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
17	6.523755342861293	17	902.672415244753	13.476244657138707	18.5163572357898	21.050673513288626	1.9915455576401229	17	781.9438755797668	18.008454442359877	16.039874370867018	15.908456312510173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
18	1.8796603446818487	18	951.7483351445729	18.12033965531815	18.495514205238663	21.366275587485006	4.139916180841723	18	824.8982692566537	15.860083819158277	16.030411710250767	15.824384460129158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
19	12.130156415948797	19	1038.767508771101	32.1301564159488	19.17724631577417	22.216547666897682	14.78244311814511	19	919.1007193682967	34.78244311814511	16.968013280645486	17.923184685375396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
20	7.255035833895384	10	1073.285120054301	12.744964166104616	18.870947165789907	21.662919607836518	4.2436450133312	9	961.7741807905247	15.7563549866688	16.910315266646595	18.327810867575337	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
21	8.552727987496125	2	1104.2881484214988	11.447272012503875	18.53350738609509	20.78029118454635	5.604844040588553	5	1000.7610615139307	14.395155959411447	16.79598984359045	18.57202860879888	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	7.953187667117291	10	1179.9946983532748	27.95318766711729	18.94305870266127	21.733480563239663	7.1838611905915055	12	1035.4714374560788	12.816138809408494	16.62295284210428	17.873594669524543	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
23	8.045370081878147	11	1255.9509089916949	28.045370081878147	19.32232167679531	21.11879079027788	5.080473790058832	12	1075.8784876080028	14.919526209941168	16.551976732430816	17.504473877956805	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
24	5.885936602697598	6	1294.1764973593888	14.114063397302402	19.11399134561559	18.74299627773046	4.379679356333044	4	1118.1835226846008	15.620320643666956	16.51471048888026	17.204483066596282	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
25	8.611283934472862	10	1325.0209367035247	11.388716065527138	18.8168653733045	18.47024356602742	10.137234633505969	14	1199.8051998170129	30.13723463350597	17.03865372521202	18.72063662160827	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
26	12.8255904002176	16	1413.9235773707808	32.8255904002176	19.335707040967943	20.224590451905677	12.423591818344	13	1287.6190943250278	32.423591818344	17.60846624717987	20.47193044406101	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
27	8.700270164480003	2	1444.5270123419807	11.299729835519997	19.04870785505909	20.006938969743807	2.655927745039996	17	1334.5926233488779	17.344072254960004	17.59902360460059	20.40549222532102	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
28	6.6656705152832	18	1480.6408213630887	13.3343294847168	18.851660325047284	19.528337952683664	11.573254134879999	17	1420.1035199641778	31.57325413488	18.080893622886084	21.976809256893194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
29	5.782796845721601	4	1519.1457465725928	14.2172031542784	18.69717841935499	17.737042626516622	2.795184669440001	17	1466.699894817778	17.20481533056	18.05169101314188	20.21904647813468	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
30	0.4069264844799996	12	1574.4145058013928	20.40692648448	18.75233158274612	18.503238858354162	12.590502260704	19	1554.965838440518	32.590502260704	18.520684924353564	21.902461205538202	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
31	11.341075391142393	3	1659.296584985737	31.341075391142393	19.1457298267585	20.492619196218016	3.9540834621439984	17	1598.4235290638778	16.045916537856	18.443348412275515	22.067537263382654	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
32	6.965329691648002	7	1694.598817070857	13.034670308351998	18.960546204988606	19.000767460341486	0.37014234670400015	4	1651.5877268748877	19.629857653296	18.479303237760984	22.748909147771407	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
33	6.392910151808001	12	1731.451352076377	13.607089848191999	18.803091606259297	17.556939436972872	2.0121157700479984	0	1700.3049133310078	17.987884229952	18.464849737531306	23.055744949772496	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
34	6.794109219872	5	1767.217306272557	13.205890780128	18.643171582655544	17.46612217525543	29.743859117015397	1	1835.0278651062579	49.7438591170154	19.35853571980228	26.46809879710734	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	7.932706882937602	10	1799.899558464601	12.067293117062398	18.460508291944624	17.533979880408957	2.638960574052433	10	1882.0473468848659	17.361039425947567	19.303049711639648	25.1904792763515	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
