task	o1_reward	o1_total_reward	o2_reward	o2_total_reward	o3_reward	o3_total_reward	o4_reward	o4_total_reward	s1_reward	s1_total_reward	s10_reward	s10_total_reward	s30_reward	s30_total_reward	s60_reward	s60_total_reward
0	1.8383194939999998	1.8383194939999998	0	0	1.4806461450000001	1.4806461450000001	1.9984902699999996	1.9984902699999996	0.0	0.0	2.145311448	2.145311448	1.3107949049999998	1.3107949049999998	1.4541601360000003	1.4541601360000003
1	2.0900477339999997	3.9283672279999995	0	0	2.029002579	3.5096487240000003	1.3771753919999994	3.375665661999999	0.0	0.0	0.0	2.145311448	1.4426021470000001	2.753397052	1.750284096	3.204444232
2	1.7340512039999998	5.662418431999999	0	0	1.4703755400000003	4.980024264000001	0.0	3.375665661999999	0.0	0.0	0.0	2.145311448	1.783319419	4.536716471	1.8666583600000002	5.071102592000001
3	0.7528709340000006	6.415289366	0	0	0.0	4.980024264000001	0.13566751200000038	3.5113331739999993	0.0	0.0	1.6207589760000003	3.7660704240000005	1.3925147039999999	5.929231175	0.11273965800000019	5.183842250000001
4	1.1069754660000002	7.522264831999999	7.51700872	7.51700872	0.10156814999999986	5.081592414000001	0.03967943399999996	3.5510126079999993	0.0	0.0	0.0	3.7660704240000005	1.368771849	7.298003024	1.5772326570000001	6.761074907000001
5	0.0	7.522264831999999	2.154361885	9.671370605	0.028343879999999988	5.109936294000001	1.1071153440000003	4.658127951999999	0.0	0.0	0.0	3.7660704240000005	1.3465935210000002	8.644596545	1.2543978850000004	8.015472792
6	1.6659181079999998	9.188182939999999	0.0	9.671370605	1.1869290000000001	6.296865294000001	1.1673656759999997	5.8254936279999985	1.246234308	1.246234308	1.5597442	5.325814624	1.399777782	10.044374327	1.612872711	9.628345503
7	1.07698423	10.26516717	0.7600238400000001	10.431394445	1.9373993099999995	8.234264604	0.8061777599999997	6.631671387999998	0.0	1.246234308	0.0	5.325814624	0.1887571530000005	10.23313148	1.4761404480000002	11.104485951000001
8	0.0	10.26516717	2.04690514	12.478299585	1.084007376	9.31827198	1.20703986	7.838711247999998	0.0	1.246234308	0.0	5.325814624	0.34962349500000034	10.582754975	1.350030243	12.454516194
9	1.776619958	12.041787128	1.052835962	13.531135547	1.289946792	10.608218772	0.0	7.838711247999998	0.0	1.246234308	0.0	5.325814624	1.866102523	12.448857498	1.5822858480000002	14.036802042
10	1.074466206	13.116253334	1.1666560660000003	14.697791613	0.999246072	11.607464844	1.32029706	9.159008307999999	0.0	1.246234308	0.0	5.325814624	1.5834778939999998	14.032335392	0.06942088000000002	14.106222922
11	0.42275297999999983	13.539006314	1.515108462	16.212900075	1.458080427	13.065545271000001	1.0963263599999997	10.255334667999998	0.0	0.0	0.43544959999999966	0.43544959999999966	1.636453702	1.636453702	0.17974379699999998	0.17974379699999998
12	1.1154223529999998	14.654428667	1.06229668	17.275196755	1.056151882	14.121697153000001	0.003950159999999814	10.259284827999998	0.0	0.0	0.0	0.43544959999999966	0.4994003	2.1358540020000003	0.30882395599999946	0.48856775299999944
13	1.272191157	15.926619824	0.07962831100000045	17.354825066	1.2356231850000001	15.357320338000001	1.1903619319999996	11.449646759999998	0.0	0.0	0.0	0.43544959999999966	0.13567006199999998	2.2715240640000003	1.1539994450000004	1.6425671979999998
14	1.040768406	16.96738823	0.003135167000000383	17.357960233	1.2822601109999998	16.639580449	1.214450978	12.664097737999999	0.0	0.0	0.07074080000000027	0.5061903999999999	1.33650879	3.608032854	1.294786188	2.937353386
15	1.0189972260000002	17.986385456	0.20815783099999985	17.566118064	1.0939326670000002	17.733513116	0.6604693840000002	13.324567122	0.0	0.0	0.0	0.5061903999999999	1.57840562	5.186438474	1.43014892	4.367502306
16	0.00434358899999987	17.990729045000002	0.0018819219999994807	17.567999986	1.0986605849999997	18.832173701000002	1.1846584899999997	14.509225612	0.0	0.0	0.0	0.5061903999999999	1.8126030949999998	6.999041569	0.08121810599999968	4.448720411999999
