policy	time	converge	projected	permin	avg
oracle	49	4695.311247846819	6071.654812335597	85.5162649624732	47.7465812707142
r1	52	5247.137054445724	7808.341431761504	114.82855046708094	64.11260734412019
r2	35	3375.5991870750986	7629.13130105941	89.7544858948166	50.1129212912726
r3	68	7154.33599569011	5189.458910527679	99.7972867409169	55.7201517636786
r4	37	3571.8751282712346	7446.5163482436965	89.71706443667104	50.092027643807995
pessimist	49	7314.095817503254	9665.415535930733	136.132613182123	76.00737569335202
