policy	round	interaction	rate	joules	win
r1	0	34	22.048478614761844	58.36361986260488	56.57
r1	1	45	25.476436275893956	57.90099153612264	61.86
r1	2	59	17.343305017005946	43.35826254251486	40.99
r1	3	109	19.04670864856825	51.42611335113427	53.08
r1	4	120	21.813797464624834	49.5768124196019	47.82
r2	0	20	22.4755106802036	56.188776700509	50.79
r2	1	34	18.30612623779277	45.765315594481926	48.03
r2	2	51	19.812653101092728	52.445258208774874	52.57
r2	3	88	20.448987531002313	55.26753386757381	58.86
