task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
96	51.52465434564001	9	5351.277669920167	31.568766590339994	1	4809.185654352113	32.512791909996004	0	4108.217925618891	84.88731184758001	7	7086.460606319521	42.92305057638401	3	4867.398431243798	76.680448262208	7	6688.517511730771	1	1	0	1	0	0	0	2	0	1	0	0
97	36.463243516434	9	5387.740913436601	36.004244314752	1	4845.189898666865	31.711535604675	0	4139.929461223566	76.89573993290401	7	7163.356346252424	69.783300185071	3	4937.181731428869	69.74748901260001	7	6758.265000743371	1	1	0	1	0	0	0	2	0	1	0	0
98	37.236225622419994	9	5424.97713905902	40.695146426339996	1	4885.885045093205	32.197590126504	0	4172.12705135007	88.31173401072	7	7251.6680802631445	39.046408711530006	3	4976.228140140399	88.03246135937	7	6846.2974621027415	1	1	0	1	0	0	0	2	0	1	0	0
99	34.638102561645006	9	5459.615241620665	144.60057327989998	1	5030.485618373105	46.48664535174	0	4218.61369670181	96.63829872076798	7	7348.3063789839125	39.66590749418	3	5015.894047634579	79.41477458738	7	6925.712236690121	1	1	0	1	0	0	0	2	0	1	0	0
100	37.855605688599994	9	5497.470847309265	91.88901070777598	1	5122.374629080881	32.681825405712004	0	4251.295522107522	91.3870872231	7	7439.6934662070125	36.017425264766004	3	5051.9114728993445	74.03875761491999	7	6999.750994305041	1	1	0	1	0	0	0	2	0	1	0	0
101	40.959870117087995	9	5538.430717426353	32.563922942880005	1	5154.938552023761	31.697678028437995	0	4282.993200135959	103.69909099124399	7	7543.392557198256	36.529819842021	3	5088.441292741366	73.44528012698001	7	7073.196274432021	1	1	0	1	0	0	0	2	0	1	0	0
102	71.3150558568	9	5609.7457732831535	31.853726408303995	1	5186.792278432065	70.821659431488	0	4353.8148595674475	95.89816411348798	7	7639.290721311744	36.39433486865	3	5124.835627610016	75.18769642215	7	7148.383970854171	1	1	0	1	0	0	0	2	0	1	0	0
103	36.17175381661799	9	5645.917527099771	32.39931477224799	1	5219.191593204313	32.541788157047996	0	4386.356647724496	80.564464598406	7	7719.85518591015	51.02647717728	3	5175.862104787296	64.60795239781999	7	7212.991923251991	1	1	0	1	0	0	0	2	0	1	0	0
104	67.387481095536	9	5713.305008195307	31.484833937935996	1	5250.676427142249	34.434168171285	0	4420.790815895781	79.52288141753999	7	7799.37806732769	36.480533632752	3	5212.3426384200475	34.00382414534	7	7246.995747397331	1	1	0	1	0	0	0	2	0	1	0	0
105	87.206522251248	9	5800.511530446555	40.20634497856499	1	5290.882772120814	31.96098335502	0	4452.751799250801	80.53272023346001	7	7879.91078756115	37.012100656344	3	5249.3547390763915	29.567487191970002	7	7276.563234589301	1	1	0	1	0	0	0	2	0	1	0	0
106	39.75745462298399	9	5840.26898506954	91.06415429033999	1	5381.946926411154	31.7240531406	0	4484.475852391401	83.66680513620001	7	7963.57759269735	40.32040365875199	3	5289.675142735144	31.915264991904003	7	7308.478499581205	1	1	0	1	0	0	0	2	0	1	0	0
107	40.079511866088	9	5880.348496935628	31.790199926363996	1	5413.737126337518	49.34987401476	0	4533.82572640616	70.76889256476	7	8034.34648526211	41.116765529000006	3	5330.791908264144	79.749928774144	7	7388.228428355349	1	1	0	1	0	0	0	2	0	1	0	0
108	35.634670299887986	9	5915.983167235516	31.51041530035	1	5445.247541637868	52.063912792800004	0	4585.88963919896	75.0460908678	7	8109.39257612991	44.91086473902	3	5375.702773003164	92.557231908441	7	7480.78566026379	1	1	0	1	0	0	0	2	0	1	0	0
109	35.361115382784	9	5951.3442826183	31.952640012803997	1	5477.200181650673	65.040957555	0	4650.93059675396	71.98179073058999	7	8181.374366860499	40.64342936346001	3	5416.346202366624	87.685111504095	7	7568.470771767886	1	1	0	1	0	0	0	2	0	1	0	0
110	42.693776163756	9	5994.038058782056	50.023659472164006	1	5527.223841122836	49.6202872921	0	4700.550884046061	92.03080110314998	7	8273.405167963649	37.488261046459996	3	5453.834463413084	37.499857807608	7	7605.970629575494	1	1	0	1	0	0	0	2	0	1	0	0
111	33.618612814967996	9	6027.656671597025	33.113240881008	1	5560.337082003844	44.6927209311	0	4745.24360497716	85.39152021972	7	8358.796688183369	41.39134051458	3	5495.225803927665	43.224220384	7	7649.194849959494	1	1	0	1	0	0	0	2	0	1	0	0
112	36.252046310127994	9	6063.908717907153	53.68883404499999	1	5614.025916048844	39.27251327405	0	4784.51611825121	81.83208537504001	7	8440.628773558408	39.638625030368004	3	5534.8644289580325	31.916246758392	7	7681.111096717886	1	1	0	1	0	0	0	2	0	1	0	0
113	37.29660842582399	9	6101.205326332977	49.66793182295999	1	5663.693847871804	49.2662431547	0	4833.78236140591	68.887807976064	7	8509.516581534472	37.77073562206	3	5572.635164580092	69.77349818689801	7	7750.884594904784	1	1	0	1	0	0	0	2	0	1	0	0
114	48.665715059744	9	6149.871041392721	50.59337299056	1	5714.287220862364	32.25735415650001	0	4866.03971556241	81.64875405456	7	8591.165335589032	36.540984791304	3	5609.176149371397	67.920382226605	7	7818.804977131389	1	1	0	1	0	0	0	2	0	1	0	0
115	56.46161484665599	9	6206.332656239377	34.592240499119995	1	5748.879461361484	33.51073684875	0	4899.550452411159	71.71085526528	7	8662.876190854313	36.460707414208	3	5645.636856785604	66.74285759803202	7	7885.547834729421	1	1	0	1	0	0	0	2	0	1	0	0
116	90.06979761363999	9	6296.402453853017	31.953954325275003	1	5780.833415686759	145.12438390455003	0	5044.674836315709	121.49078489116799	7	8784.36697574548	36.605634030812	3	5682.242490816417	78.07144631418002	7	7963.619281043601	1	1	0	1	0	0	0	2	0	1	0	0
117	51.290542240408	9	6347.692996093425	58.33839124440001	1	5839.171806931158	41.53335684155	0	5086.208193157259	118.24224762873601	7	8902.609223374217	36.19192633728	3	5718.434417153697	74.12231426886001	7	8037.741595312462	1	1	0	1	0	0	0	2	0	1	0	0
118	89.16680038252	9	6436.859796475945	43.17887952	1	5882.350686451158	31.967547797625	0	5118.1757409548845	89.10662104248799	7	8991.715844416705	36.476156360104994	3	5754.910573513802	74.14363284873599	7	8111.885228161198	1	1	0	1	0	0	0	2	0	1	0	0
119	40.518290117216004	9	6477.37808659316	83.99343323223002	1	5966.344119683388	32.004654551375	0	5150.18039550626	75.24890394111999	7	9066.964748357825	66.93811418649601	3	5821.848687700298	77.03197637982001	7	8188.917204541018	1	1	0	1	0	0	0	2	0	1	0	0
120	41.222170369951996	9	6518.600256963113	79.4259251856	1	6045.770044868988	31.67438518695	0	5181.854780693209	72.08933536881999	7	9139.054083726645	71.15912525919599	3	5893.007812959494	79.83967639190399	7	8268.756880932922	1	1	0	1	0	0	0	2	0	1	0	0
121	33.805102514351994	9	6552.405359477465	33.1184044224	1	6078.8884492913885	32.395367214311996	0	5214.250147907521	95.655625483425	7	9234.70970921007	47.697955068285005	3	5940.705768027779	76.845912799104	7	8345.602793732027	1	1	0	1	0	0	0	2	0	1	0	0
122	46.92227671473999	9	6599.327636192205	31.926747392955	1	6110.815196684343	31.747301990271996	0	5245.997449897793	85.36321251092599	7	9320.072921720996	43.798269808838	3	5984.5040378366175	73.09316888772399	7	8418.695962619751	1	1	0	1	0	0	0	2	0	1	0	0
123	35.194934013876	9	6634.522570206082	31.628886854664003	1	6142.444083539008	39.688356422186	0	5285.685806319979	76.527052722449	7	9396.599974443445	41.042883381616996	3	6025.546921218234	71.60772335875201	7	8490.303685978502	1	1	0	1	0	0	0	2	0	1	0	0
124	35.610374476641	9	6670.132944682722	31.838747824399995	1	6174.282831363408	31.650607611504	0	5317.336413931483	77.120490080204	7	9473.720464523649	40.68462104148	3	6066.231542259714	73.11464301066698	7	8563.41832898917	1	1	0	1	0	0	0	2	0	1	0	0
