task	reward	total_reward	total_reward_dev
0	39.253650823270824	39.253650823270824	9.126752871846916
1	46.577037934616165	85.830688757887	26.068726086899893
2	49.424826746276835	135.2555155041638	41.06908812824202
3	64.07685403433166	199.3323695384955	56.4857817036826
4	63.374252185689166	262.70662172418463	74.78240929031676
5	55.90939659238433	318.61601831656895	92.94947901172927
6	38.451320732166494	357.06733904873545	89.69201191871096
7	49.625114147646	406.69245319638156	97.23662901210753
8	62.36665891875183	469.0591121151333	124.41891084036214
9	56.69978149083166	525.758893605965	132.2373528199511
10	61.95364143478751	587.7125350407525	126.15607567083575
11	53.56781350818817	641.2803485489407	128.45775149745356
12	47.82057165598451	689.1009202049253	126.77757007803278
13	45.45414119492134	734.5550613998463	119.44252173152029
14	48.80936772191901	783.3644291217655	109.96679141682604
15	59.31483124562584	842.6792603673912	113.17930375809287
16	55.58254524050934	898.2618056079006	112.54885409214754
17	53.11895573399317	951.3807613418936	115.86303609778984
18	37.489245625289335	988.8700069671831	114.80596350287134
19	39.18646917955616	1028.0564761467392	115.90950052004945
20	74.47624893243466	1102.5327250791738	114.27910435799451
21	74.00216762919966	1176.5348927083735	115.3213093088076
22	73.89982220253849	1250.434714910912	116.34452582310603
23	97.75808099476531	1348.1927959056773	115.92847888477702
24	48.294749540686006	1396.4875454463634	123.36907278267911
25	51.000410922702	1447.4879563690654	135.8345898176769
26	47.018562701227665	1494.5065190702928	143.07128843087602
27	48.20487370559166	1542.7113927758846	156.39733583602973
28	57.78600275713583	1600.4973955330206	171.12074054337052
29	58.63549405644934	1659.13288958947	180.43354860304018
30	64.37736577438982	1723.5102553638596	189.55198005195368
31	55.60615824347249	1779.116413607332	201.71135638491512
32	50.68526519112683	1829.8016787984589	212.30537899382605
33	74.19191912987216	1903.9935979283312	228.37616780998644
34	48.861835284882154	1952.8554332132132	234.24801924097423
35	51.00772837334133	2003.8631615865545	250.66236384725372
36	64.10493752873866	2067.968099115293	278.6037012220227
37	46.95032481987733	2114.9184239351707	284.9183415340188
38	39.15701958715466	2154.0754435223253	296.41524799677427
39	38.673564111545	2192.7490076338704	306.41105194946545
40	52.88763918698134	2245.6366468208516	315.3432852722025
41	43.4984869410135	2289.135133761865	324.61930783570153
42	49.03631886573884	2338.171452627604	335.83659190626685
43	48.331080132646	2386.5025327602502	339.2873118854286
44	56.7696406847895	2443.2721734450397	343.0864520217038
45	58.065085432158334	2501.3372588771977	342.5040409295358
46	60.843533369194326	2562.1807922463927	351.78774488840287
47	62.877098907977334	2625.0578911543694	356.84587531437097
48	63.167424243013336	2688.225315397383	367.6781092962717
49	64.43328554764267	2752.6586009450257	373.52586342330966
50	65.50000057205901	2818.1586015170847	375.4058752297866
51	55.35028706396583	2873.5088885810505	380.9840145637263
52	54.1942361192235	2927.7031247002737	389.9918892354054
53	58.18369743117767	2985.8868221314515	397.9646872164349
54	49.637176507801996	3035.5239986392535	407.20199495646955
55	52.37996510777183	3087.9039637470255	420.93075651482314
56	60.81363795570466	3148.7176017027305	429.50080346442195
57	66.79697731946267	3215.5145790221927	438.5782404059053
58	52.081209747602664	3267.5957887697955	451.55162330361577
59	57.03321788428733	3324.6290066540823	460.29576121781395
60	59.588247527704674	3384.217254181787	475.04818911362514
61	52.29623309105867	3436.5134872728463	492.6183846859045
62	80.10826770346267	3516.621754976309	496.8579932254521
63	61.27464059893301	3577.896395575241	515.7717734658754
64	65.944811814244	3643.8412073894856	534.8557690629315
65	60.248183549449	3704.0893909389342	550.4595489670492
66	55.99628258982833	3760.085673528763	562.7994421789817
67	55.35272452945316	3815.4383980582156	578.5549517908623
68	53.451414434203	3868.8898124924185	591.8485404643487
69	49.758887963634834	3918.6487004560536	608.1750727533382
70	51.57748080865067	3970.226181264705	626.7353729095898
71	62.63358595434383	4032.859767219048	636.062391849408
72	59.490833111150835	4092.350600330199	646.2272986894698
73	66.13463839472534	4158.485238724924	659.4422182044326
74	57.79962990412349	4216.284868629047	675.5013791327287
75	50.137573290651666	4266.422441919699	690.9021682165107
76	46.221177880175	4312.643619799875	707.6560366654276
77	57.88219963343666	4370.525819433312	728.3641251970271
78	59.11079834183983	4429.636617775151	747.9038919045324
79	54.310055810619	4483.94667358577	762.4625458191055
80	53.99118796617433	4537.9378615519445	772.5801316676212
81	54.229359516644166	4592.167221068588	795.0121098457373
82	51.73834991653799	4643.905570985126	814.4308660056556
83	53.160341126342	4697.065912111469	838.8366895128064
84	50.39981196106032	4747.465724072529	859.7015279820191
85	49.86589586377449	4797.331619936303	880.4420916527134
86	61.68021887236366	4859.011838808667	904.0765737627653
87	52.99188329941783	4912.003722108085	917.2829885721511
88	69.013706203714	4981.0174283117985	930.8290949525906
89	69.578219086978	5050.595647398776	941.8117676311275
90	59.90728409214166	5110.502931490918	961.664732485069
91	53.8881072230925	5164.39103871401	981.4751109108939
92	79.76219252365333	5244.153231237664	989.9321796994032
93	69.73131925716918	5313.884550494833	1014.3701001353805
94	63.451104855948834	5377.335655350782	1020.8404235262159
95	54.491140591403166	5431.8267959421855	1041.6256599622516
96	53.349503922024674	5485.176299864211	1061.8142930505624
97	53.43425876107267	5538.6105586252825	1076.1795962647045
98	54.253261042813996	5592.863819668098	1099.2015983050264
99	73.57405033260216	5666.437870000699	1109.1337896212844
100	60.644951984145656	5727.0828219848445	1125.8269300181553
101	53.1492770081085	5780.232098992953	1151.1045368269206
102	63.578439516813326	5843.810538509766	1165.4135375750882
103	49.551958486569994	5893.362496996336	1181.7435020977814
104	47.218953733398166	5940.581450729734	1192.3060317999364
105	51.08102644443451	5991.662477174169	1201.6203900151659
106	53.07468930679667	6044.737166480965	1208.6233839757097
107	52.142528779185994	6096.879695260152	1222.3581614434036
108	55.28719765138317	6152.166892911534	1238.7896573196042
109	55.4441740914555	6207.611067002991	1251.413041232455
110	51.559440480873	6259.170507483864	1261.9372837388257
111	46.90527595756266	6306.075783441426	1274.424715370165
112	47.100058465496325	6353.175841906922	1283.3041184078547
113	52.110470864750994	6405.286312771674	1293.8171557391652
114	52.9377605465455	6458.224073318219	1310.5390661288156
115	49.913168745341004	6508.13724206356	1325.341254058364
116	83.88600017993751	6592.023242243497	1332.6074334245254
117	63.286463093539005	6655.309705337037	1357.8166926077124
118	60.673272991912334	6715.982978328949	1377.0139101627358
119	62.62256206804284	6778.605540396991	1387.0367440986756
120	62.568436293736994	6841.173976690729	1396.8611492952705
121	53.253061250313	6894.427037941041	1419.9468720249727
122	52.14182955090916	6946.568867491951	1439.7483711533318
123	49.281639458924	6995.850506950876	1456.136501335761
124	48.33658067414933	7044.187087625025	1474.5483042309518
