policy	round	interaction	win
r1	0	30	2.2428
r1	1	62	1.1122
r1	2	96	1.0049
r1	3	121	1.5258
r2	0	30	-1.3921
r2	1	60	-1.2843
r2	2	121	-0.0515
r3	0	30	2.6084
r3	1	62	-1.3829
r3	2	92	1.3459
r3	3	121	-0.2511
r4	0	35	-1.0002
r4	1	66	1.0066
r4	2	98	1.0099
r4	3	121	-0.5833
