task	reward	total_reward	total_reward_dev	joules
0	3.6939136335269245	45.54663705038	6.32132197330174	45.54663705038
1	7.68767146075179	93.30863139313124	21.165954083899933	47.76199434275125
2	8.773358488972448	139.9356618081165	34.59962790603312	46.627030414985256
3	8.680594509700358	188.502068374543	50.196709689658796	48.566406566426494
4	5.285756754496536	242.16520560689796	61.78760728749658	53.663137232355
5	4.439315714168358	285.605449238178	61.281774799809256	43.44024363128
6	7.21317695741415	344.7602487639025	74.53494688750561	59.15479952572449
7	4.104376145454657	389.1355320245083	74.4550116981133	44.375283260605755
8	4.184167679624807	433.288063918889	77.49879318124546	44.15253189438074
9	8.14973007829537	495.0882022032218	100.31815810852345	61.80013828433274
10	8.23962234977952	549.4458605212072	86.0740672236753	54.357658317985496
11	7.545566741874838	584.21448670014	87.80930813871842	34.76862617893275
12	6.8179931172016115	643.9136265914775	107.26776474572014	59.699139891337495
13	8.00651556511621	712.3067383930032	113.95766001298479	68.39311180152576
14	9.240227208435938	773.7415934397303	130.09182918624387	61.434855046727
15	2.850099541066329	821.6183988875866	135.24320936061176	47.8768054478565
16	4.160694764789551	878.9876534303962	134.61737635451462	57.3692545428095
17	6.926479738639488	935.579725952509	151.32963888679285	56.592072522112744
18	8.472632317252119	1012.2102431072065	155.33245093857028	76.6305171546975
19	14.074966670296892	1107.336191728452	159.47196315385776	95.1259486212455
20	5.395062045249373	1165.9677570889844	170.28069221981264	58.631565360532505
21	5.740595719868118	1213.572201535012	162.79185612679169	47.6044444460275
22	7.103198852539283	1249.5757714050064	165.2934060227524	36.0035698699945
23	5.790903124391581	1289.24283351608	167.53724512254195	39.6670621110735
24	7.381624636463314	1324.4691314059532	170.83139342879278	35.22629788987325
25	7.388572395911641	1382.674105494385	152.30548767929167	58.204974088431996
26	5.368447870942956	1423.5205218546694	151.10376089232614	40.84641636028425
27	4.834825898644955	1465.8566328876188	155.92533087263632	42.336111032949496
28	3.7687868232389876	1511.1687696727433	157.1388800502274	45.312136785124494
